title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,2022‑02‑17,61,23,203,70,Duo
My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,2022‑02‑17,68,83,192,68,Duo
I Need A Dollar,Aloe Blacc,pop soul,2010,2022‑02‑17,84,96,243,72,Solo
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,2010,2022‑02‑17,66,38,180,80,Solo
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,2022‑02‑17,69,74,268,79,Solo
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,2010,2022‑02‑17,55,79,196,71,Solo
The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,2022‑02‑17,82,44,308,75,Band/Group
Imma Be,Black Eyed Peas,dance pop,2009,2022‑02‑17,60,41,258,71,Band/Group
Talking to the Moon,Bruno Mars,dance pop,2010,2022‑02‑17,50,8,218,87,Solo
Just the Way You Are,Bruno Mars,dance pop,2010,2022‑02‑17,64,42,221,86,Solo
Teach Me How to Dougie,Cali Swag District,pop rap,2011,2022‑02‑17,85,51,237,71,Band/Group
Forget You,CeeLo Green,atl hip hop,2010,2022‑02‑17,70,77,223,69,Solo
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,2022‑02‑17,69,22,277,74,Solo
Memories (feat. Kid Cudi),David Guetta,big room,2009,2022‑02‑17,56,50,210,74,Solo
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,2009,2022‑02‑17,62,45,188,55,Solo
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,2022‑02‑17,54,28,233,55,Solo
Over,Drake,canadian hip hop,2010,2022‑02‑17,35,45,234,72,Solo
Find Your Love,Drake,canadian hip hop,2010,2022‑02‑17,63,76,209,70,Solo
Barbra Streisand (Radio Edit),Duck Sauce,disco house,2010,2022‑02‑17,76,46,195,61,Duo
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,2022‑02‑17,80,59,185,71,Solo
Pack Up,Eliza Doolittle,lilith,2010,2022‑02‑17,67,87,191,46,Solo
Starry Eyed,Ellie Goulding,dance pop,2010,2022‑02‑17,50,60,177,59,Solo
Love The Way You Lie,Eminem,detroit hip hop,2010,2022‑02‑17,75,64,263,87,Solo
Not Afraid,Eminem,detroit hip hop,2010,2022‑02‑17,86,67,248,85,Solo
I Like It,Enrique Iglesias,dance pop,2010,2022‑02‑17,65,70,232,71,Solo
Kickstarts,Example,dance pop,2010,2022‑02‑17,61,66,182,69,Solo
Like A G6,Far East Movement,asian american hip hop,2010,2022‑02‑17,44,78,217,75,Band/Group
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,2022‑02‑17,62,47,235,81,Solo
Hot - Malibu Breeze Radio Edit,INNA,dance pop,2010,2022‑02‑17,81,51,224,43,Solo
Replay,Iyaz,dance pop,2009,2022‑02‑17,71,20,182,78,Solo
Whatcha Say,Jason Derulo,dance pop,2010,2022‑02‑17,62,71,221,72,Solo
Ridin' Solo,Jason Derulo,dance pop,2010,2022‑02‑17,44,58,216,70,Solo
In My Head,Jason Derulo,dance pop,2010,2022‑02‑17,76,85,199,67,Solo
Down,Jay Sean,dance pop,2009,2022‑02‑17,73,73,213,83,Solo
Do You Remember,Jay Sean,dance pop,2009,2022‑02‑17,85,82,211,74,Solo
Young Forever,JAY-Z,east coast hip hop,2009,2022‑02‑17,64,10,254,71,Solo
Heartbreak Warfare,John Mayer,neo mellow,2009,2022‑02‑17,62,31,270,69,Solo
Half of My Heart,John Mayer,neo mellow,2009,2022‑02‑17,68,73,250,68,Solo
Baby,Justin Bieber,canadian pop,2010,2022‑02‑17,73,54,214,86,Solo
California Gurls,Katy Perry,dance pop,2012,2022‑02‑17,79,43,235,78,Solo
Teenage Dream,Katy Perry,dance pop,2010,2022‑02‑17,72,59,228,76,Solo
Commander,Kelly Rowland,atl hip hop,2011,2022‑02‑17,40,57,218,54,Solo
TiK ToK,Kesha,dance pop,2010,2022‑02‑17,76,71,200,86,Solo
Your Love Is My Drug,Kesha,dance pop,2010,2022‑02‑17,83,76,187,75,Solo
Take It Off,Kesha,dance pop,2010,2022‑02‑17,73,74,215,74,Solo
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,2022‑02‑17,75,52,172,67,Solo
Wavin' Flag,K'NAAN,reggae fusion,2009,2022‑02‑17,63,72,221,63,Solo
Live Like We're Dying,Kris Allen,idol,2009,2022‑02‑17,59,94,213,57,Solo
Bad Romance,Lady Gaga,art pop,2009,2022‑02‑17,70,71,295,86,Solo
Telephone,Lady Gaga,art pop,2009,2022‑02‑17,82,72,221,75,Solo
Alejandro,Lady Gaga,art pop,2009,2022‑02‑17,62,36,274,72,Solo
Right Above It,Lil Wayne,hip hop,2010,2022‑02‑17,38,46,272,74,Solo
My Chick Bad,Ludacris,atl hip hop,2010,2022‑02‑17,62,76,217,73,Solo
How Low,Ludacris,atl hip hop,2010,2022‑02‑17,79,42,202,68,Solo
Misery,Maroon 5,pop,2010,2022‑02‑17,70,73,216,70,Band/Group
When We Collide,Matt Cardle,talent show,2011,2022‑02‑17,44,45,226,52,Solo
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,2022‑02‑17,77,63,213,81,Solo
Can't Be Tamed,Miley Cyrus,dance pop,2010,2022‑02‑17,63,74,168,69,Solo
Animal,Neon Trees,modern alternative rock,2010,2022‑02‑17,48,74,212,76,Band/Group
Fireflies,Owl City,indietronica,2009,2022‑02‑17,51,47,228,84,Band/Group
She Said,Plan B,grime,2010,2022‑02‑17,72,83,211,39,Duo
Only Girl (In The World),Rihanna,barbadian pop,2010,2022‑02‑17,79,64,235,82,Solo
Rude Boy,Rihanna,barbadian pop,2009,2022‑02‑17,56,81,223,80,Solo
What's My Name?,Rihanna,barbadian pop,2010,2022‑02‑17,69,56,263,75,Solo
Man Down,Rihanna,barbadian pop,2010,2022‑02‑17,48,54,267,65,Solo
Hard,Rihanna,barbadian pop,2009,2022‑02‑17,31,16,251,60,Solo
Dancing On My Own - Radio Edit,Robyn,art pop,2010,2022‑02‑17,57,22,278,65,Solo
King of Anything,Sara Bareilles,acoustic pop,2010,2022‑02‑17,68,81,207,66,Solo
This Ain't a Love Song,Scouting For Girls,dance pop,2017,2022‑02‑17,46,55,211,58,Band/Group
Eenie Meenie,Sean Kingston,dance pop,2020,2022‑02‑17,73,84,202,72,Solo
Riverside,Sidney Samson,dutch house,2009,2022‑02‑17,80,29,321,42,Solo
Alors on danse - Radio Edit,Stromae,belgian pop,2010,2022‑02‑17,79,71,206,83,Solo
Stuck Like Glue,Sugarland,contemporary country,2010,2022‑02‑17,70,84,248,73,Duo
One - Radio Edit,Swedish House Mafia,dance pop,2010,2022‑02‑17,80,62,170,62,Band/Group
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,2010,2022‑02‑17,74,66,206,52,Band/Group
Dynamite,Taio Cruz,dance pop,2010,2022‑02‑17,75,82,203,85,Solo
Break Your Heart,Taio Cruz,dance pop,2010,2022‑02‑17,61,57,202,79,Solo
The Flood,Take That,boy band,2010,2022‑02‑17,51,14,289,63,Band/Group
Back To December,Taylor Swift,pop,2010,2022‑02‑17,53,29,293,71,Solo
Mine,Taylor Swift,pop,2010,2022‑02‑17,62,66,231,70,Solo
Today Was A Fairytale,Taylor Swift,pop,2011,2022‑02‑17,49,34,242,56,Solo
If I Die Young,The Band Perry,contemporary country,2010,2022‑02‑17,61,36,223,74,Band/Group
For the First Time,The Script,celtic rock,2011,2022‑02‑17,40,36,253,66,Band/Group
All Time Low,The Wanted,boy band,2010,2022‑02‑17,69,79,205,63,Band/Group
Seek Bromance (Avicii Vocal Edit),Tim Berg,edm,2010,2022‑02‑17,49,55,201,55,Solo
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009,2022‑02‑17,53,27,232,74,Solo
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,2022‑02‑17,65,39,293,74,Solo
Pass Out,Tinie Tempah,dance pop,2010,2022‑02‑17,69,53,268,51,Solo
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,2022‑02‑17,62,30,208,51,Solo
"Hey, Soul Sister",Train,dance pop,2010,2022‑02‑17,67,80,217,87,Band/Group
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,2010,2022‑02‑17,63,66,211,77,Solo
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010,2022‑02‑17,84,33,242,78,Solo
Say Aah (feat. Fabolous),Trey Songz,dance pop,2009,2022‑02‑17,72,81,208,68,Solo
What You Know,Two Door Cinema Club,indie rock,2010,2022‑02‑17,56,78,192,76,Band/Group
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,2022‑02‑17,66,65,221,84,Solo
OMG (feat. will.i.am),Usher,atl hip hop,2010,2022‑02‑17,78,33,269,78,Solo
Hey Daddy (Daddy's Home),Usher,atl hip hop,2010,2022‑02‑17,59,35,224,65,Solo
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,2022‑02‑17,76,36,264,63,Solo
We No Speak Americano (Edit),Yolanda Be Cool,australian dance,2020,2022‑02‑17,90,75,157,65,Duo
BedRock,Young Money,dance pop,2009,2022‑02‑17,73,56,288,76,Band/Group
Rolling in the Deep,Adele,british soul,2011,2020‑06‑16,73,51,228,84,Solo
Set Fire to the Rain,Adele,british soul,2011,2020‑06‑16,60,45,243,81,Solo
Mr. Saxobeat,Alexandra Stan,dance pop,2011,2020‑06‑16,72,78,195,69,Solo
What the Hell,Avril Lavigne,canadian pop,2011,2020‑06‑16,58,88,221,80,Solo
Lighters,Bad Meets Evil,detroit hip hop,2011,2020‑06‑16,68,14,304,74,Duo
Love On Top,Beyoncé,dance pop,2011,2020‑06‑16,65,65,267,79,Solo
Best Thing I Never Had,Beyoncé,dance pop,2011,2020‑06‑16,55,30,254,74,Solo
Skinny Love,Birdy,pop,2011,2020‑06‑16,38,17,201,77,Solo
Just Can’t Get Enough,Black Eyed Peas,dance pop,2010,2020‑06‑16,66,26,219,81,Band/Group
Honey Bee,Blake Shelton,contemporary country,2011,2020‑06‑16,48,72,211,69,Solo
Holocene,Bon Iver,eau claire indie,2011,2020‑06‑16,37,15,337,70,Band/Group
I Wanna Go,Britney Spears,dance pop,2011,2020‑06‑16,70,79,210,71,Solo
Till the World Ends,Britney Spears,dance pop,2011,2020‑06‑16,69,45,238,71,Solo
Grenade,Bruno Mars,dance pop,2010,2020‑06‑16,70,25,222,82,Solo
Marry You,Bruno Mars,dance pop,2010,2020‑06‑16,62,45,230,79,Solo
The Lazy Song,Bruno Mars,dance pop,2010,2020‑06‑16,79,96,189,77,Solo
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,dance pop,2012,2020‑06‑16,78,76,222,67,Solo
Blind Faith,Chase & Status,dancefloor dnb,2011,2020‑06‑16,45,40,234,66,Duo
Champion (feat. Chris Brown),Chip,grime,2011,2020‑06‑16,42,52,237,54,Solo
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,dance pop,2011,2020‑06‑16,77,54,223,77,Solo
Yeah 3x,Chris Brown,dance pop,2011,2020‑06‑16,71,70,242,74,Solo
Beautiful People,Chris Brown,dance pop,2019,2020‑06‑16,42,54,226,59,Solo
Jar of Hearts,Christina Perri,dance pop,2011,2020‑06‑16,35,9,247,77,Solo
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011,2020‑06‑16,67,75,216,75,Band/Group
Paradise,Coldplay,permanent wave,2011,2020‑06‑16,45,21,279,88,Band/Group
Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,2020‑06‑16,43,33,241,75,Band/Group
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011,2020‑06‑16,66,56,210,69,Solo
Who's That Chick? (feat. Rihanna),David Guetta,big room,2010,2020‑06‑16,68,93,201,66,Solo
Coming Home,Diddy - Dirty Money,hip pop,2010,2020‑06‑16,39,23,239,74,Duo
Louder,DJ Fresh,dancefloor dnb,2012,2020‑06‑16,39,48,207,40,Solo
I'm On One,DJ Khaled,dance pop,2011,2020‑06‑16,41,44,296,75,Solo
I Need A Doctor,Dr. Dre,g funk,2011,2020‑06‑16,59,40,284,77,Solo
Headlines,Drake,canadian hip hop,2011,2020‑06‑16,64,43,236,80,Solo
The A Team,Ed Sheeran,pop,2011,2020‑06‑16,64,41,258,80,Solo
Lego House,Ed Sheeran,pop,2011,2020‑06‑16,59,56,185,77,Solo
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,2020‑06‑16,80,59,185,71,Solo
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2010,2020‑06‑16,67,27,232,65,Solo
Springsteen,Eric Church,contemporary country,2011,2020‑06‑16,69,93,263,77,Solo
Changed the Way You Kiss Me - Radio Edit,Example,dance pop,2011,2020‑06‑16,58,19,195,69,Solo
Rocketeer,Far East Movement,asian american hip hop,2010,2020‑06‑16,66,36,211,73,Band/Group
Shake It Out,Florence + The Machine,baroque pop,2011,2020‑06‑16,53,22,278,68,Band/Group
Pumped Up Kicks,Foster The People,indietronica,2011,2020‑06‑16,73,97,240,88,Band/Group
Tongue Tied,Grouplove,indie pop,2011,2020‑06‑16,56,37,218,84,Band/Group
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,2020‑06‑16,65,80,211,87,Band/Group
Tonight Tonight,Hot Chelle Rae,dance pop,2011,2020‑06‑16,69,81,200,79,Band/Group
Dirt Road Anthem,Jason Aldean,contemporary country,2010,2020‑06‑16,68,64,229,77,Solo
It Girl,Jason Derulo,dance pop,2011,2020‑06‑16,67,35,192,76,Solo
Don't Wanna Go Home,Jason Derulo,dance pop,2011,2020‑06‑16,67,64,206,68,Solo
On The Floor,Jennifer Lopez,dance pop,2011,2020‑06‑16,73,57,285,84,Solo
Down On Me,Jeremih,chicago rap,2010,2020‑06‑16,70,59,228,77,Solo
Do It Like A Dude,Jessie J,dance pop,2011,2020‑06‑16,66,38,195,53,Solo
All Of The Lights,Kanye West,chicago rap,2010,2020‑06‑16,53,22,300,82,Solo
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,2020‑06‑16,65,77,231,80,Solo
Firework,Katy Perry,dance pop,2010,2020‑06‑16,64,65,228,72,Solo
E.T.,Katy Perry,dance pop,2012,2020‑06‑16,62,76,230,71,Solo
Motivation,Kelly Rowland,atl hip hop,2011,2020‑06‑16,74,27,231,70,Solo
Pretty Girl Rock,Keri Hilson,dance pop,2010,2020‑06‑16,67,90,244,72,Solo
We R Who We R,Kesha,dance pop,2010,2020‑06‑16,74,65,205,77,Solo
Blow,Kesha,dance pop,2010,2020‑06‑16,75,81,220,75,Solo
Earthquake (feat. Tinie Tempah),Labrinth,indie poptimism,2012,2020‑06‑16,54,26,275,68,Solo
Just A Kiss,Lady A,contemporary country,2011,2020‑06‑16,59,33,219,69,Band/Group
Born This Way,Lady Gaga,art pop,2011,2020‑06‑16,59,49,260,73,Solo
The Edge Of Glory,Lady Gaga,art pop,2011,2020‑06‑16,58,36,321,68,Solo
6 Foot 7 Foot,Lil Wayne,hip hop,2011,2020‑06‑16,37,60,249,77,Solo
How To Love,Lil Wayne,hip hop,2011,2020‑06‑16,64,27,240,72,Solo
Party Rock Anthem,LMFAO,dance pop,2011,2020‑06‑16,75,36,262,74,Duo
Sexy And I Know It,LMFAO,dance pop,2011,2020‑06‑16,71,80,199,68,Duo
The Show Goes On,Lupe Fiasco,chicago rap,2011,2020‑06‑16,59,65,240,76,Solo
I Follow Rivers - The Magician Remix,Lykke Li,art pop,2021,2020‑06‑25,79,30,280,67,Solo
Midnight City,M83,french shoegaze,2011,2020‑06‑16,53,32,241,76,Duo
Donald Trump,Mac Miller,hip hop,2011,2020‑06‑16,64,84,166,67,Solo
Buzzin Remix,Mann,pop rap,2011,2020‑06‑16,69,54,224,53,Solo
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,2010,2020‑06‑16,72,62,201,75,Band/Group
Sure Thing,Miguel,dance pop,2010,2020‑06‑16,68,50,195,84,Solo
When We Stand Together,Nickelback,alternative metal,2011,2020‑06‑16,45,88,191,71,Band/Group
Super Bass,Nicki Minaj,dance pop,2010,2020‑06‑16,72,67,200,83,Solo
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,indie folk,2011,2020‑06‑16,60,61,228,63,Band/Group
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,dance pop,2011,2020‑06‑16,84,88,202,66,Solo
Good Life,OneRepublic,dance pop,2009,2020‑06‑16,63,65,253,78,Band/Group
Raise Your Glass,P!nk,dance pop,2010,2020‑06‑16,70,62,203,81,Solo
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,2020‑06‑16,67,53,252,86,Solo
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,dance pop,2011,2020‑06‑16,60,76,234,76,Solo
Read All About It,Professor Green,grime,2021,2020‑06‑16,66,45,236,35,Solo
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,alternative rock,2011,2020‑06‑16,68,58,282,71,Band/Group
S&M,Rihanna,barbadian pop,2010,2020‑06‑16,77,84,244,82,Solo
We Found Love,Rihanna,barbadian pop,2011,2020‑06‑16,74,60,215,80,Solo
What's My Name?,Rihanna,barbadian pop,2010,2020‑06‑16,69,56,263,75,Solo
Down With The Trumpets,Rizzle Kicks,uk hip hop,2011,2020‑06‑16,75,79,187,65,Duo
Loca People - Radio Edit,Sak Noel,electro house,2011,2020‑06‑16,93,70,216,45,Solo
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2011,2020‑06‑16,86,92,188,85,Band/Group
Who Says,Selena Gomez & The Scene,dance pop,2011,2020‑06‑16,68,74,196,81,Band/Group
Sweat - Remix,Snoop Dogg,g funk,2011,2020‑06‑16,81,73,196,73,Solo
Save The World,Swedish House Mafia,dance pop,2011,2020‑06‑16,51,40,213,70,Band/Group
Higher,Taio Cruz,dance pop,2011,2020‑06‑16,67,70,188,51,Solo
If I Die Young,The Band Perry,contemporary country,2010,2020‑06‑16,61,36,223,74,Band/Group
Glad You Came,The Wanted,boy band,2011,2020‑06‑16,72,45,198,83,Band/Group
More - RedOne Jimmy Joker Remix,Usher,atl hip hop,2010,2020‑06‑16,55,79,220,72,Solo
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,2020‑06‑16,76,36,264,81,Solo
Black and Yellow,Wiz Khalifa,dance pop,2011,2020‑06‑16,68,54,218,80,Solo
Roll Up,Wiz Khalifa,dance pop,2011,2020‑06‑16,52,60,228,68,Solo
Skyfall,Adele,british soul,2012,2020‑06‑22,35,8,286,80,Solo
Rumour Has It,Adele,british soul,2011,2020‑06‑22,61,57,223,72,Solo
Years,Alesso,dance pop,2013,2020‑06‑22,37,32,195,53,Solo
Too Close,Alex Clare,modern alternative rock,2011,2020‑06‑22,58,29,257,67,Solo
Breezeblocks,alt-J,indie rock,2012,2020‑06‑22,62,29,227,77,Band/Group
R U Mine?,Arctic Monkeys,garage rock,2012,2020‑06‑22,52,68,200,39,Band/Group
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,israeli pop,2012,2020‑06‑22,83,53,215,72,Solo
Levels - Radio Edit,Avicii,dance pop,2011,2020‑06‑22,58,46,200,82,Solo
Silhouettes - Original Radio Edit,Avicii,dance pop,2012,2020‑06‑22,61,84,212,68,Solo
212,Azealia Banks,dance pop,2014,2020‑06‑22,85,62,205,73,Solo
So Good,B.o.B,atl hip hop,2012,2020‑06‑22,66,59,213,70,Solo
Locked out of Heaven,Bruno Mars,dance pop,2012,2020‑06‑11,73,87,233,91,Solo
It Will Rain,Bruno Mars,dance pop,2011,2020‑06‑22,58,48,258,74,Solo
Feel So Close - Radio Edit,Calvin Harris,dance pop,2012,2020‑06‑22,71,92,206,85,Solo
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,2020‑06‑22,71,88,233,71,Solo
We'll Be Coming Back (feat. Example),Calvin Harris,dance pop,2012,2020‑06‑22,60,57,234,68,Solo
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,2020‑06‑22,78,66,193,76,Solo
Blown Away,Carrie Underwood,contemporary country,2012,2022‑03‑22,53,39,240,68,Solo
Want U Back,Cher Lloyd,dance pop,2012,2020‑06‑22,69,56,215,71,Solo
Turn Up the Music,Chris Brown,dance pop,2012,2020‑06‑22,59,64,228,69,Solo
Paradise,Coldplay,permanent wave,2011,2020‑06‑22,45,21,279,88,Band/Group
Princess of China,Coldplay,permanent wave,2011,2020‑06‑22,42,24,239,72,Band/Group
Turn Me On (feat. Nicki Minaj),David Guetta,big room,2011,2020‑06‑22,71,41,200,64,Solo
In The Dark,DEV,dance pop,2012,2020‑06‑22,74,44,226,62,Solo
Latch,Disclosure,edm,2013,2020‑06‑22,73,54,256,75,Duo
Hot Right Now - Edit,DJ Fresh,dancefloor dnb,2010,2020‑06‑22,51,39,179,41,Solo
Take Care,Drake,canadian hip hop,2011,2020‑06‑22,63,30,277,81,Solo
The Motto,Drake,canadian hip hop,2011,2020‑06‑22,77,39,182,79,Solo
Lights - Single Version,Ellie Goulding,dance pop,2010,2020‑06‑22,68,78,211,68,Solo
Good Feeling,Flo Rida,dance pop,2012,2020‑06‑22,71,68,248,81,Solo
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,baroque pop,2012,2020‑06‑22,58,59,218,59,Band/Group
Lost,Frank Ocean,alternative r&b,2012,2020‑06‑22,91,50,234,91,Solo
Thinkin Bout You,Frank Ocean,alternative r&b,2012,2020‑06‑22,72,20,201,81,Solo
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,2020‑06‑22,38,74,251,79,Band/Group
Some Nights,fun.,baroque pop,2012,2020‑06‑22,67,39,277,76,Band/Group
Somebody That I Used To Know,Gotye,australian pop,2011,2020‑06‑22,86,72,245,81,Solo
Oblivion,Grimes,art pop,2012,2020‑06‑22,70,49,251,71,Solo
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2011,2020‑06‑22,72,65,222,67,Band/Group
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑06‑22,71,82,157,74,Duo
It's Time,Imagine Dragons,modern rock,2012,2020‑06‑22,66,86,238,72,Band/Group
On Top Of The World,Imagine Dragons,modern rock,2012,2020‑06‑22,64,76,190,72,Band/Group
Ni**as In Paris,JAY-Z,east coast hip hop,2011,2020‑06‑22,79,78,219,88,Solo
Boyfriend,Justin Bieber,canadian pop,2012,2020‑06‑22,72,33,171,68,Solo
Mercy,Kanye West,chicago rap,2012,2020‑06‑22,56,43,329,79,Solo
Brokenhearted,Karmin,dance pop,2012,2020‑06‑22,77,89,227,70,Duo
